k,recall
2,0.9033643521832498
3,0.9076592698639944
4,0.9090909090909092
5,0.9133858267716536
6,0.9169649248389404
7,0.9198282032927704
8,0.917680744452398
9,0.9205440229062276
10,0.9205440229062276
11,0.9226914817466
12,0.9226914817466
13,0.9219756621331424
14,0.9241231209735148
15,0.9255547602004296
16,0.9255547602004296
17,0.9262705798138868
18,0.9269863994273444
19,0.9269863994273444
20,0.9277022190408016
