k,recall
2,0.8589835361488904
3,0.9148174659985684
4,0.8940586972083036
5,0.9305654974946314
6,0.9212598425196851
7,0.9291338582677166
8,0.9234073013600572
9,0.9341445955619184
10,0.9269863994273443
11,0.9377236936292055
12,0.9319971367215462
13,0.9384395132426628
14,0.933428775948461
15,0.9405869720830351
16,0.9391553328561203
17,0.9413027916964924
18,0.9377236936292055
19,0.9434502505368647
20,0.9384395132426628
