lnTotalAssets,lnTobinQ,lnRDStock_TangFixedAssets,lnPatentStock_RDStock,lnCitesStock_PatentStock
11.60344,-4.244864,1.80606,0.7022179,-0.7257533
13.03019,-6.10134,0.0830526,-0.3827527,-0.8745865
15.75703,-4.359535,-0.2574453,-1.665783,1.408862
12.45487,-4.245399,2.067492,-1.660756,0
12.59707,-4.413112,1.718484,0.7104968,0.839107
14.49751,-6.329539,-1.377313,-1.695669,-1.496295
12.68341,-5.127367,1.415736,0.4628837,0
12.50977,-4.944258,1.852998,1.85718,2.263798
14.26566,-2.12446,2.215646,0.2412908,2.665721
13.93726,-3.66787,2.290042,0.623287,3.324022
16.31578,-4.063807,-1.194887,0.4712169,0.7134639
13.47193,-6.981031,-1.640203,-1.230554,-0.6042
12.7908,-6.293585,-1.561061,-0.9349682,0
10.7225,-4.673013,2.476655,-0.4629709,-0.1466035
13.69351,-3.910473,1.05885,3.646796,0.7421481
10.36031,-5.854094,2.09717,3.206167,2.78288
13.57281,-6.16528,-0.6011156,-2.38078,-0.0241849
13.62861,-4.97497,-1.519041,-0.0176527,0
16.08694,-6.910777,-0.4504384,-2.196018,0.5047448
16.4754,-6.706645,-0.916963,-2.317964,0.9452603
12.17998,-7.556334,-0.7398552,-0.1615364,0
17.29938,-6.314172,0.2667351,-3.02851,2.546607
15.57393,-7.285198,-1.029313,0.1554926,0.8954161
13.23958,-6.074363,-0.3761042,3.018797,0
12.80252,-8.546941,-0.1496601,1.135032,2.532575
13.5556,-6.720721,0.6331535,-2.053117,0
14.18594,-6.05524,0.1104165,-2.026759,2.16564
17.40947,-6.554638,0.8113275,-0.8499539,1.384976
12.45672,-5.45366,-0.2702541,0.0268057,-1.124285
14.6625,-5.481536,1.365898,0.7251766,0.9948811
16.11284,-7.449977,-1.217797,-1.444894,0.7848378
13.70034,-6.534672,0.6230521,-0.5072634,0.7192645
14.36007,-6.493535,-0.7194234,-0.9718754,0
16.74267,-4.88116,-1.200857,-0.7176105,0.565373
15.81223,-5.068349,-0.0890698,-3.408746,0
13.31646,-6.95402,-0.9550418,0.8193853,1.543233
13.52497,-6.964502,0.3158464,-3.209625,0.5158549
14.9063,-6.043297,-1.429436,0.6541728,1.791195
11.87142,-4.683685,0.9720474,-0.8722593,2.161506
14.49446,-7.167248,-2.037151,-2.576713,0
14.56466,-5.228069,-0.3681783,0.429569,1.393433
14.75306,-5.567939,-1.087584,0.3889501,0.6917289
14.93343,-4.994837,1.26149,-0.0319216,1.819424
12.92933,-4.280743,0.0034247,0.401388,0.3825639
15.63566,-5.014897,0.1762043,1.519274,3.469456
15.13859,-7.45193,0.6075688,-1.454163,1.258738
13.49838,-7.779962,-1.388885,-0.2940743,-1.438675
14.95631,-4.241528,-0.1590155,-0.4290124,0.9290321
14.68436,-4.829582,-0.0163645,-2.162552,3.882382
15.46396,-5.949587,-0.0741386,-0.8317482,-0.5201871
16.24562,-6.328316,-1.365311,-0.8360693,2.0319
15.4192,-5.268529,0.5731564,-0.0914872,1.227573
14.32686,-5.314231,-0.3290625,1.271904,0.7402437
14.4043,-5.557429,1.047916,-1.150663,2.254103
18.5205,-6.771406,-1.362103,0.08893,1.478699
15.66774,-6.200802,-1.561342,-1.237188,0.5624792
13.06953,-6.95058,-0.8457116,-1.622824,-0.4038052
18.75135,-5.811984,0.0898343,-1.428188,1.80591
11.55261,-5.877061,0.883195,1.150647,2.159801
12.37978,-7.119224,-1.201906,-0.8166887,0
14.33762,-5.397593,0.4259959,-0.9137471,0.1362345
14.44735,-5.915084,-0.411107,1.646021,0.683109
15.75579,-4.976009,-0.6039914,-0.3373396,0.8620461
13.54105,-5.266079,-0.381276,-1.26605,0
16.14863,-7.827616,-2.387706,-2.985734,0
16.53692,-4.548364,-1.43827,-1.208101,0.6254143
18.4604,-6.437295,-2.065529,-1.877059,0.3152004
15.3805,-6.289261,-1.378375,-0.3983204,2.61912
12.71096,-7.927623,-2.424474,2.319763,0
13.62249,-7.32557,-0.0998039,-0.7268479,0.6357148
17.22626,-7.995693,-2.77103,-0.4802372,2.607019
13.1839,-6.522356,-0.4163918,0.0271271,0
16.6114,-6.956043,-1.204581,-1.774092,1.35441
13.38041,-4.458278,-1.189994,4.728089,-5.021394
14.60208,-2.966143,1.371594,0.0430335,1.549974
15.8862,-5.404418,1.296863,-0.3250725,1.478155
13.68921,-5.640598,0.1203214,-0.9556791,-0.7307096
11.16799,-4.21098,0.0718332,0.8380774,1.111516
14.26609,-4.233767,2.139146,-2.327922,0
15.44671,-3.676703,1.470335,-0.1779682,1.316434
12.72004,-6.249974,-1.225752,0.1279943,1.514189
12.71353,-3.582653,1.385181,2.067403,3.081779
16.40943,-6.366658,-0.7298412,-2.229287,0.6213476
8.973738,-3.580822,1.056798,1.325674,0
12.72161,-6.173491,1.14956,-2.508937,0.8266786
12.74814,-4.895183,0.6935635,0.9750565,0.6326228
15.76966,-6.099437,-2.271392,-0.5530751,3.563514
13.44813,-6.487823,-1.898687,0.9832619,0.3850648
13.28876,-7.520281,-1.799029,1.030432,-2.448539
14.07622,-6.436758,-0.292025,0.5108765,1.395389
12.72325,-5.327775,0.2349111,-1.599869,0
12.7902,-5.891499,-0.1732892,-1.223154,0
13.64201,-6.318112,0.1916582,1.009867,-1.403385
13.99555,-6.604242,0.4907013,-0.6863453,-0.1061814
15.54465,-4.565886,-1.346209,-2.136267,0
13.17966,-6.968739,-0.7113804,-0.4377081,-0.435911
15.47052,-5.193889,-1.024847,-1.563413,1.127193
13.88545,-6.769647,-1.54867,-1.244945,-0.745333
15.36276,-5.210434,0.0632936,-0.7454893,1.079365
16.13115,-6.73455,-0.9860515,-0.678057,0.7567561
14.97893,-7.68216,-1.389802,-1.295952,0.7595499
15.51571,-6.823261,-0.887994,-0.5125505,-0.17272
14.99812,-5.499102,-0.9272451,-0.9861414,0.1085213
16.60613,-6.456366,-0.649634,-1.014862,0.9439846
17.6323,-6.646265,-2.973456,-2.420209,1.725542
14.66068,-6.318697,-2.804011,2.20779,2.601894
16.29566,-5.196559,-1.289914,-0.96614,0.8562028
14.82874,-5.307654,-1.620276,2.423846,1.173804
17.00662,-5.896554,-2.109554,-0.547478,-0.1562204
13.3476,-7.02159,-0.7636332,2.312683,1.072331
12.71578,-6.256424,-0.8086395,0.2064321,1.26957
14.38041,-5.67075,0.4761459,-2.121571,0.8930415
14.00165,-6.678838,-1.754508,-2.166259,0
15.35785,-3.634029,1.990161,-0.1005413,0.9171304
13.46862,-6.138099,-1.14438,-0.7388984,0
14.2956,-4.383735,-0.1253905,-2.552264,0
17.10555,-7.734278,-2.327626,-1.162336,5.442473
14.25807,-7.319183,0.1879983,-0.6670334,0.1163698
15.2204,-5.924358,-0.0867695,-0.3092214,1.000324
14.94843,-6.966815,-2.53273,0.7465619,-0.4855516
17.06793,-5.368457,-0.9848043,-0.9900324,0.2997544
12.73387,-5.720719,-0.9605737,-1.383281,0
14.47766,-6.629869,-0.6103867,-0.287264,-0.4511026
16.13498,-6.193554,0.4511691,-1.23017,0.887307
17.22986,-6.342762,-3.837047,-1.105617,1.247425
17.57997,-5.287388,0.8018685,-1.134886,1.330389
13.60028,-6.136009,-0.5051274,-0.9408275,0
16.88258,-8.06657,-4.013933,-2.958843,2.060781
13.3718,-6.120816,-0.1544222,-1.767665,0
14.59775,-7.044761,-1.107927,-0.8935758,1.140511
14.92967,-5.976089,-1.798247,-1.668961,0.1129079
15.04806,-6.684851,-1.804356,-0.5009901,0.8278251
16.96893,-5.12761,0.5560609,-1.174987,0.799023
13.98343,-7.555554,-2.076058,-0.5562479,0
17.22105,-6.0412,-2.774194,-1.139531,-0.1265142
17.28577,-4.043764,0.0601121,0.477968,-1.164013
15.21518,-3.893108,1.616265,1.181666,2.005041
12.23714,-5.834418,-0.9337325,2.332623,-1.037511
10.34792,-4.195361,3.240769,0.7806224,1.373881
13.05606,-4.060184,2.072144,2.552088,-0.236619
