state,STATE1,year,lnsG_R_AppTot2931,lnsG_R10_AppTot2931,lnsfood,lnsagri,YY1,YY2,YY3,YY4,YY5,YY6,YY7,YY8,YY9,YY10,YY11,YY12,YY13,YY14,YY15,YY16,YY17
CO,CO,2011,-2.541303,-3.11673,-2.215745,-5.160967,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CO,CO,2012,-2.465091,-3.018263,-2.124584,-5.097351,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,CO,2013,-2.413964,-2.943954,-2.048637,-5.4095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,CO,2014,-2.388093,-2.89158,-1.971886,-4.910331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CO,CO,2015,-2.535857,-3.01138,-2.153188,-5.094817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CT,CT,2006,0.9150884,0.4414137,-0.189983,-0.076618,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CT,CT,2007,1.062378,0.520385,0.0109255,0.3557076,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CT,CT,2008,1.137361,0.5610498,0.280412,1.306393,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CT,CT,2009,1.250242,0.6717361,0.5621141,2.04553,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CT,CT,2010,1.392651,0.8484392,0.8197191,2.152517,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CT,CT,2011,1.482942,0.9147889,0.1923183,2.061915,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CT,CT,2012,1.552593,0.9628198,0.2150968,-0.1878609,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CT,CT,2013,1.621122,1.037177,0.251663,-0.3472859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CT,CT,2014,1.644217,1.044288,0.1939346,-0.4187383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CT,CT,2015,1.481695,0.8936391,0.233263,-0.4023888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE,DE,2006,0.1418147,-1.296153,-1.591363,-1.262593,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DE,DE,2007,0.1689493,-1.251727,-1.247277,-1.178141,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DE,DE,2008,0.1261818,-1.263356,-0.8740094,-0.9681864,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,DE,2009,0.0904375,-1.178724,-1.004315,-1.268096,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DE,DE,2010,-0.0016754,-1.230756,-0.8558555,-1.025152,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DE,DE,2011,0.0074977,-1.186525,-0.7064782,-0.9199318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DE,DE,2012,0.0454298,-1.140299,-0.479227,-0.8863918,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DE,DE,2013,-0.0036709,-1.100518,-0.4445397,-0.7791563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,DE,2014,0.0004558,-1.006061,-1.131488,-0.7104131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,DE,2015,-0.1639534,-1.16832,-1.304001,-0.7588839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FL,FL,2006,-0.7911931,-1.009457,-0.895474,-1.047682,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FL,FL,2007,-0.6799576,-0.8890846,-0.6233602,-0.8386459,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FL,FL,2008,-0.5596915,-0.7816175,-0.3996475,-0.7677686,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FL,FL,2009,-0.4256633,-0.6456372,-0.4086576,-0.7395903,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FL,FL,2010,-0.2505039,-0.4641743,-0.2270694,-0.6169202,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FL,FL,2011,-0.0789113,-0.2636271,0.1133432,-0.4289215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FL,FL,2012,0.0728818,-0.0937481,0.2876701,-0.4608809,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FL,FL,2013,0.2475304,0.088163,0.3692026,-0.2405368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FL,FL,2014,0.3945065,0.236905,0.4872914,-0.1457044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FL,FL,2015,0.3702341,0.2144107,0.5996177,-0.0524783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
